Localidad,Anio,ncmb_1,ncmb_2,ncmb_3,ncmb_4,ncmb_5,ncmb_6,ws_1,ws_2,ws_3,vsp_1,vsp_2,vsp_3,vsp_4,sp_1,sp_2,sp_3,abc_1,abc_2,abc_3,abc_4,aic_1,aic_2,aic_3,hw_1,hw_2,hw_3,hw_4,es_1,es_2,es_3,es_4,pr_1,pr_2,pr_3,pr_4,pfc_1,pfc_2,pfc_3,ti_1,ti_2,ti_3,ti_4,ti_5,aes_1,aes_2,aes_3,aes_4
Total Bogotá,2009,128.0,0.06,52.7,9147.0,18.5,12.1,997.0,989.0,992.0,0.0647,0.0533,0.9593,0.8943,136.5,22.7,7.3,16.0,1.0,0.86,306.0,581.0,807.0,576.0,77.3,3.2,18.9,0.12,4,4,25001.0,0.43,446.0,539.0,102.0,478.0,1.8431,917.0,68.51,0.7362,0.1456,0.7371,0.1408,0.4991,44.38,46.53,0.1083,0.1751
Total Bogotá,2010,129.0,53.0,37.3,8569.0,17.6,11.7,999.0,991.0,994.0,0.0647,0.0533,0.9593,0.8943,125.8,23.7,7.2,16.0,1.0,0.89,312.4,602.0,0.85,576.0,77.5,3.4,21.9,114.0,4,4,24647.0,389.0,446.0,539.0,96.0,478.0,1.6686,919.0,67.54,0.6971,0.1896,0.7371,0.2697,0.4991,44.96,46.19,0.1039,0.1859
Total Bogotá,2011,133.0,52.0,38.6,9307.0,20.9,12.1,999.0,992.0,986.0,0.0647,0.0533,0.9593,0.8943,138.0,22.1,7.5,16.0,1.0,0.91,315.6,623.0,892.0,576.0,77.6,4.2,20.8,108.0,4,4,29215.0,348.0,446.0,539.0,91.0,474.0,1.4895,919.0,66.64,0.6296,0.2336,0.7371,0.2749,0.4991,46.87,47.42,0.0996,0.1966
Total Bogotá,2012,129.0,51.0,39.2,8427.0,17.6,11.2,999.0,992.0,984.0,0.0614,0.0475,0.9584,0.8909,190.8,16.9,7.5,15.0,0.9719,0.88,318.9,612.0,888.0,591.0,77.8,5.0,21.2,0.14,4,4,31514.0,331.0,432.0,538.0,91.0,474.0,1.5989,914.0,65.64,0.7268,0.1895,0.7758,0.2152,0.4644,46.21,47.37,0.1002,0.2024
Total Bogotá,2013,128.0,48.0,24.4,8483.0,19.8,10.1,999.0,993.0,989.0,0.0581,0.0416,0.9575,0.8874,150.7,16.7,6.5,15.0,0.9807,0.86,309.4,601.0,883.0,607.0,78.0,3.3,18.5,173.0,4,4,16203.0,319.0,418.0,536.0,92.0,474.0,1405.0,0.91,64.32,0.6672,0.1454,0.8146,0.19,0.4297,45.15,48.16,0.1008,0.2081
Total Bogotá,2014,123.0,51.0,28.0,8483.0,22.5,9.6,0.9996,0.9933,0.9904,0.0548,0.0358,0.9575,0.8874,150.7,17.4,7.8,14.0,0.9534,0.9,309.4,601.0,883.0,622.0,78.0,3.5,18.1,173.0,4,4,16203.0,319.0,418.0,536.0,92.0,474.0,1.4022,0.91,64.1,0.6672,0.1454,0.8146,0.19,0.4297,50.92,51.92,0.1008,0.2081
