Ciudad,Territorio,Anio,v1_d_001,v1_d_002,v2_p_001,v2_p_002,v2_p_003,v2_p_004,v2_p_005,v2_p_006,v2_p_007,v2_p_008,v3_s_001,v3_s_002,v3_s_003,v3_s_004,v3_s_005,v3_s_006,v3_s_007,v3_s_008,v3_s_009,v3_s_010,v3_s_011,v3_s_012,v4_e_001,v4_e_002,v4_e_003,v4_e_004,v4_e_005,v4_e_006,v4_e_007,v4_e_008,v4_e_009,v4_e_010,v4_e_011,v4_e_012,v5_ml_001,v5_ml_002,v5_ml_003,v5_ml_004,v5_ml_005,v6_sc_001,v6_sc_002,v6_sc_003,v6_sc_004,v6_sc_005,v6_sc_006,v6_sc_007,v6_sc_008,v6_sc_009,v6_sc_010,v6_sc_011,v6_sc_012,v7_v_001,v7_v_002,v7_v_003,v7_v_004,v7_v_005,v7_v_006,v7_v_007,v7_v_008,v7_v_009,v7_v_010,v7_v_011,v8_ma_01,v8_ma_02,v8_ma_03,v8_ma_04,v8_ma_05,v8_ma_06,v8_ma_07,v8_ma_08,v9_m_001,v9_m_002,v9_m_003,v9_m_004,v9_m_005,v9_m_006,v9_m_007,v9_m_008,v9_m_009,v9_m_010,v9_m_011,v9_m_012,v9_m_013,v9_m_014,v9_m_015,v0_ep_001,v0_ep_002,v1_cr_001,v1_cr_002,v1_cr_003,v2_pc_001,v2_pc_002,v2_pc_003,v2_pc_004,v2_pc_005,v2_pc_006,v2_pc_007,v2_pc_008,v2_pc_009,v2_pc_010,v2_pc_011,v2_pc_012,v2_pc_013,v2_pc_014,v2_pc_015,v2_pc_016,v2_pc_017,v3_gp_001,v3_gp_002,v3_gp_003,v3_gp_004,v3_gp_005,v3_gp_006,v3_gp_007,v3_gp_008,v3_gp_009,v4_ee_001,v4_ee_002,v4_ee_003
Cartagena,Total Cartagena,2011, 955709,95,0.33,0.05, 0.07,0.49,NA,NA,0.07,0.08,0.95,76,45,329.28, 46.89,9,91.69,0.96,1.06,11.05,13.13,NA,0.66,0.66,0.94,0.77,0.51,NA,0.03,NA,NA,NA,NA,3,0.58,0.52,0.59,0.10,0.21,26,33,25,NA, 23.65,342.26,NA,NA, 36.83,NA, 3.66, 35.16,NA,0.20,1.00,81,35,0.88,77,1.00,73,NA,63,734.38, 92.23,NA,0.92,NA, 1,NA,  5.29,26,NA,NA,-0.01, 1.80, 2.69,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.32,19,36,96,NA,10,NA,23,8,23,12,23,15,21,19,16,18,26,22,26,30,37,55.32,53, 380427.2,47,86, 865969,0.38,23,31,0.04, 0.09,NA
Cartagena,Total Cartagena,2012, 967103,95,0.33,0.06, 0.03,0.48,NA,NA,0.03,0.13,1.02,91,59,367.08, 40.14,9,93.77,1.09,1.12,14.05,16.01,NA,0.68,0.68,0.91,0.79,0.48,NA,0.05,23,33,19,38,6,0.60,0.54,0.57,0.10,0.19,15,36,19,NA, 28.95,305.66,NA,NA, 33.81,NA, 2.48, 34.02,80,0.67,1.00,79,35,0.89,74,1.00,81,0.99,66,782.00, 95.74,NA,0.92,NA, 1,NA,  2.72,31,NA,NA,-0.06, 2.03, 3.68,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.30,33,41,86,88,14,NA,12,2,18,13,11,39,20,17,16,19,19,14,33,26,38,68.90,51, 398173.0,49,80, 685031,0.28,22,38,0.03, 0.11,NA
Cartagena,Total Cartagena,2013, 978600,96,0.29,0.06, 0.06,0.48,0.50,10,0.03,0.11,1.00,91,56,324.24, 41.86,8,85.94,1.10,1.09,11.35,13.60,NA,0.67,0.67,0.91,0.79,0.48,NA,0.03,24,34,18,33,6,0.60,0.54,0.56,0.10,0.20,16,40,19,6, 28.10,292.56,66.54,3.29, 26.98,1, 1.53, 17.68,75,0.53,1.00,83,34,0.90,76,1.00,86,0.99,75,827.10, 97.37,100,1.00,NA, 1,NA,  4.53,32,NA,NA,-0.05, 2.15, 4.65, 9.81, 66.22,  8.57,5,14,30,3,25,15,6.08,23,31,75,84,16,39,23,7,13,7,6,37,13,11,11,13,13,11,22,22,22,73.99,42, 468235.0,58,84, 965366,0.19,18,51,0.02, 0.12,18
Cartagena,Total Cartagena,2014, 990179,96,0.27,0.04, 0.13,0.48,NA,NA,0.04,0.06,1.03,94,54,NA, 45.36,8,86.00,NA,0.91, 9.60,NA,19,NA,0.69,0.93,0.82,0.47,NA,0.03,25,34,17,30,NA,0.60,0.55,0.54,0.08,NA,15,34,22,NA, 30.60,NA,67.60,NA,NA,NA, 1.90, 29.90,72,NA,1.00,77,33,0.94,70,1.00,79,1.00,58,903.00,100.00,100,1.08,72.00, 1,NA,183.00,32,NA,NA,--, 2.30, 5.40,12.20,NA,  8.57,NA,NA,NA,NA,NA,NA,7.80,21,15,67,78,32,NA,20,3,15,5,5,25,11,13,15,19,26,21,34,28,36,NA,NA,NA,NA,NA,1219238,0.20,23,39,0.04, 0.13,NA
Cartagena,Total Cartagena,2015,1001755,96,0.26,0.04, 0.03,0.47,NA,NA,0.04,0.07,1.04,71,42,NA,  0.31,7,NA,0.96,1.00,11.51,NA,NA,NA,0.67,0.94,0.80,0.48,NA,0.03,27,33,17,29,8,0.60,0.55,0.55,0.09,NA,15,44,15,NA, 27.20,NA,54.80,NA,NA,NA, 2.20, 28.50,74,NA,1.00,70,32,0.94,64,1.00,77,1.00,34,887.00,101.00,100,1.12,48.00, 1,NA,  0.10,NA,NA,NA,--, 2.90, 6.00, 9.20,NA,  8.57,NA,NA,NA,NA,NA,NA,7.72,26,23,74,83,22,NA,30,4,9,5,4,35,4,9,6,10,10,9,18,17,32,NA,NA,NA,NA,NA,1065945,0.21,16,43,0.07, 0.13,NA
Medellín,Total Medellín,2011,2368282,99,0.19,0.04, 0.04,0.51,NA,NA,0.09,0.11,0.94,95,57,526.63, 39.75,10,65.12,0.81,0.97, 9.40,11.20,11,0.76,0.92,1.03,0.92,0.60,1.06,0.04,NA,NA,NA,NA,5,0.64,0.56,0.47,0.12,0.21,10,40,52,NA, 69.71,283.71,NA,NA,690.29,NA,84.00,209.00,NA,0.50,1.00,93,36,1.00,92,0.98,92,1.00,95,605.00,115.39,2356,0.62,56.00, 1,NA,  7.09,84, 741657.96,124,0.07,22.41,20.59,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.79,65,22,76,NA,2,NA,28,10,23,13,13,18,35,30,24,21,21,26,44,39,59,72.77,74, 446238.9,26,87,1306093,0.61,47,50,0.04, 0.16,NA
Medellín,Total Medellín,2012,2393011,99,0.18,0.04, 0.04,0.50,NA,NA,0.07,0.11,0.95,98,55,509.65, 35.95,10,67.27,0.86,0.90, 9.38,11.00,9,0.83,0.94,1.06,0.92,0.59,1.08,0.03,32,45,29,54,10,0.66,0.57,0.47,0.12,0.20,10,49,54,NA, 52.49,281.40,NA,NA,645.42,NA,77.00,213.00,86,0.28,1.00,93,35,1.00,90,0.99,88,1.00,92,590.76,115.42,2260,0.63,53.00, 1,12,  0.00,75, 809492.59,133,0.04,22.48,23.49,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.82,66,29,69,82,19,NA,23,7,15,10,15,29,40,33,30,29,36,33,40,43,37,86.20,73, 460079.9,27,86,1207400,0.41,51,63,0.02, 0.18,NA
Medellín,Total Medellín,2013,2417325,99,0.16,0.03, 0.09,0.51,0.27,2,0.08,0.11,0.96,93,57,472.55, 25.44,10,64.70,0.88,0.94, 9.05,10.50,8,0.80,0.87,1.05,0.93,0.59,1.08,0.03,30,45,28,48,10,0.66,0.58,0.47,0.11,0.18,13,33,44,11, 38.22,268.48,85.32,16.53,  3.89,1,68.00,204.00,82,0.54,1.00,86,34,1.00,86,0.99,85,1.00,89,574.95,113.55,2376,0.54,56.00, 1,14, 17.58,71, 907258.73,145,0.06,24.80,24.34,12.66,115.00, 30.77,3,2,47,3,31,11,3.50,58,17,60,69,28,41,46,6,10,3,6,16,34,32,35,34,37,35,36,37,42,84.23,71, 505614.1,29,89,1492700,0.60,59,51,0.02, 0.19,11
Medellín,Total Medellín,2014,2441123,99,0.15,0.03, 0.14,0.53,NA,NA,0.07,0.10,0.98,96,58,NA,NA,NA,NA,NA,NA,NA,NA,8,0.65,0.86,1.04,0.92,0.57,1.06,0.02,26,41,28,48,NA,0.66,0.60,0.44,0.10,NA,13,40,42,9, 27.00,NA,NA,NA,NA,NA,49.00,191.00,83,NA,n.d.,88,32,n.d.,86,0.99,83,1.00,89,575.00,114.00,2221,0.54,63.00, 1,15,  7.70,77,NA,NA,NA,25.41,25.42,11.90,NA,NA,NA,NA,NA,NA,NA,NA,NA,44,16,67,74,28,NA,46,6,10,3,13,13,35,28,28,33,45,39,36,37,42,NA,NA,NA,NA,NA,1957872,0.79,71,64,0.03, 0.20,NA
Medellín,Total Medellín,2015,2464322,99,0.14,0.03,-0.03,0.49,NA,NA,0.05,0.09,1.02,96,52,NA,NA,NA,NA,NA,NA,NA,NA,7,0.74,0.82,1.03,0.92,0.57,1.06,0.03,32,41,25,49,11,0.66,0.59,0.41,0.11,NA,12,38,45,7, 18.80,NA,NA,NA,NA,2,38.00,175.00,79,NA,n.d.,100,32,n.d.,99,0.99,100,1.00,100,569.00,114.00,2164,0.66,65.00, 1,16,  2.30,74,NA,NA,NA,25.97,25.94,11.20,NA,NA,NA,NA,NA,NA,NA,NA,3.66,42,15,59,70,25,NA,39,6,9,4,10,14,32,27,28,34,41,33,43,45,43,NA,NA,NA,NA,NA,1460288,0.72,62,58,0.07, 0.20,NA
Ibagué,Total Ibagué,2011, 532020,94,0.22,0.03, 0.02,0.45,NA,NA,0.13,0.16,0.88,95,48,529.49, 51.20,7,68.88,0.86,0.90, 8.45, 9.73,NA,0.09,0.61,0.82,0.73,0.45,0.86,0.03,NA,NA,NA,NA,2,0.71,0.58,0.61,0.17,0.27,22,32,33,NA, 23.31,134.58,NA,NA,  2.49,NA, 6.00, 37.00,NA,0.53,1.00,51,39,0.99,63,NA,80,NA,82,359.01,102.18,NA,NA,NA,NA,NA,  8.66,49,NA,NA,--, 6.17,10.60,17.48,245.29,NA,40,24,35,48,28,25,NA,20,41,87,NA,3,NA,16,5,12,10,19,32,8,11,13,28,30,25,29,34,32,63.35,37, 182639.5,63,84, 518697,0.30,NA,32,0.04, 0.10,NA
Ibagué,Total Ibagué,2012, 537467,94,0.21,0.03, 0.05,0.45,NA,NA,0.10,0.18,0.89,96,42,537.34, 64.47,7,69.54,0.78,0.82, 9.16,10.96,NA,0.11,0.65,0.79,0.72,0.43,0.83,0.04,41,51,33,56,7,0.68,0.59,0.61,0.13,0.22,14,42,36,NA, 21.95,238.34,NA,NA,  2.00,NA, 7.00, 68.00,76,0.62,0.99,27,37,0.95,38,1.00,66,1.00,70,363.00,106.30,NA,0.72,NA,NA,NA,  0.14,54,NA,NA,-0.01, 6.63,11.67,16.37,249.69,NA,49,32,19,46,27,27,NA,18,28,75,75,26,NA,17,2,12,2,8,44,13,15,15,27,31,26,28,37,32,70.30,32, 183517.7,68,85, 569601,0.17,12,18,0.02, 0.13,NA
Ibagué,Total Ibagué,2013, 542876,94,0.19,0.03, 0.10,0.45,0.37,5,0.10,0.16,0.90,96,41,528.30, 26.11,7,64.49,0.93,0.93, 8.22,10.70,NA,0.12,0.64,0.80,0.73,0.43,0.84,0.03,44,51,32,51,6,0.70,0.60,0.59,0.14,0.22,13,43,45,9, 17.50,243.89,30.30,10.80,  2.05,0, 4.00, 57.00,83,0.83,1.01,51,42,0.97,56,1.00,75,1.00,78,376.17,109.77,12,0.78,NA,NA,NA,  2.93,57,NA,NA,-0.08, 7.14,13.52,13.45,251.99,  0.00,41,45,12,48,26,26,NA,22,29,78,75,32,47,18,3,6,5,10,43,14,14,15,31,34,29,22,35,23,82.93,33, 211750.5,67,87, 726430,0.30,18,15,0.01, 0.15, 2
Ibagué,Total Ibagué,2014, 548209,94,0.16,0.02, 0.06,0.44,NA,NA,0.08,0.14,NA,97,50,NA, 38.98,7,NA,0.93,0.96,11.04,13.64,NA,NA,0.61,0.82,0.74,0.44,0.71,0.02,41,48,32,48,NA,0.68,0.60,0.57,0.12,NA,21,34,34,NA, 18.20,373.22,27.70,NA,  2.10,NA, 3.83, 31.19,84,0.54,0.88,49,42,0.85,53,1.00,73,1.00,75,386.00,107.00,12,NA,25.00,NA,NA, 55.80,59,NA,NA,-0.03, 7.60,15.00,10.22,263.22,  0.00,48,38,14,51,23,26,1.36,17,31,80,83,32,NA,19,5,9,6,15,38,10,12,12,30,33,26,31,41,32,73.19,23, 221207.0,51,85, 819289,0.10,14,18,0.04,16.20, 2
Ibagué,Total Ibagué,2015, 553524,95,0.18,0.03, 0.03,0.44,NA,NA,0.08,0.11,NA,97,43,NA,  0.00,6,NA,0.97,0.96, 6.46, 7.75,NA,NA,0.45,0.76,0.66,0.40,0.64,0.03,42,48,30,48,8,0.69,0.60,0.57,0.13,NA,18,43,37,NA, 18.61,415.34,20.40,NA,  1.64,NA, 5.78, 30.53,86,0.35,0.84,45,45,0.81,56,1.00,76,1.00,78,390.00,NA,12,0.72,32.90,NA,NA, 22.40,60,NA,NA,--, 8.10,16.70,16.62,294.48,  0.00,43,36,15,55,20,25,1.28,22,24,77,87,37,NA,14,2,5,4,10,37,14,14,14,34,39,32,38,42,37,NA,24, 290182.0,45,87,1132064,0.10,14,11,0.07, 0.17, 2
Manizales,Total Manizales,2011, 390084,93,0.19,0.02, 0.09,0.47,NA,NA,0.09,0.11,0.92,NA,NA,577.06,109.70,8,48.06,0.66,0.65,11.20,13.40,NA,NA,0.82,0.85,0.81,0.70,0.92,0.02,NA,NA,NA,NA,6,0.59,0.51,0.46,0.13,0.22,NA,NA,NA,NA, 35.63,369.41,NA,NA, 14.87,NA, 2.30,  6.20,NA,0.47,1.00,NA,NA,1.00,NA,1.00,NA,1.00,NA,423.50, 94.23,1,0.61,43.00, 1,NA,  1.80,NA,NA,NA,-0.02,13.70,10.50,12.00,230.70,NA,NA,NA,NA,NA,NA,NA,3.10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,64.49,50, 257848.3,44,85, 607554,0.49,NA,NA,0.05, 0.15,NA
Manizales,Total Manizales,2012, 391640,93,0.18,0.02, 0.05,0.46,NA,NA,0.02,0.08,0.91,97,49,572.00, 79.90,7,52.60,0.82,0.73, 8.30,10.60,13,NA,0.87,0.81,0.73,0.58,0.85,0.05,43,58,30,53,10,0.59,0.52,0.44,0.12,0.21,16,35,61,NA, 29.36,394.24,NA,NA, 23.24,NA, 1.50,  8.94,85,0.42,1.00,94,NA,0.99,90,0.99,86,1.00,92,418.00,101.72,1,0.64,45.75, 1,1,  0.77,60,NA,NA,-0.01,14.90,12.30,12.00,236.70,NA,NA,NA,NA,NA,NA,NA,3.10,33,24,68,73,20,NA,40,3,5,2,10,36,27,27,29,31,32,25,26,26,24,82.00,44, 255649.4,52,83, 594006,0.55,37,48,0.02, 0.16,NA
Manizales,Total Manizales,2013, 393167,93,0.16,0.03, 0.11,0.47,0.46,11,0.02,0.06,0.93,92,51,564.00, 26.25,9,49.03,0.79,0.77,10.50,13.91,14,0.65,0.77,0.79,0.64,0.58,0.87,0.03,48,61,30,51,10,0.60,0.53,0.44,0.12,0.20,15,31,49,11, 31.79,338.79,77.49,32.27, 31.03,0, 5.60, 15.80,85,0.37,1.00,84,25,0.99,82,1.00,82,1.00,88,405.08,100.39,1,0.66,45.50, 1,1,177.00,66,NA,NA,-0.02,15.60,13.86,12.50,240.40,  0.00,27,10,37,3,28,8,4.12,43,22,79,78,27,48,32,9,3,10,2,32,30,34,29,NA,44,42,35,43,NA,78.43,45, 270160.6,52,85, 722065,NA,40,45,0.02, 0.17, 1
Manizales,Total Manizales,2014, 394627,93,0.16,0.02, 0.01,0.47,NA,NA,0.02,0.05,0.96,98,56,572.00, 27.17,8,46.30,NA,NA, 4.10, 6.30,11,NA,NA,0.79,0.63,0.55,NA,0.03,41,56,31,50,11,0.60,0.54,0.44,0.10,NA,13,38,49,NA, 26.20,335.30,59.90,NA,NA,NA, 4.30, 13.20,88,0.63,1.00,96,NA,0.99,92,1.00,91,1.00,95,404.00, 99.50,1,0.79,37.00, 1,NA, 14.00,80,NA,NA,0.01,17.10,15.70,12.40,222.20,NA,NA,NA,NA,NA,NA,NA,4.10,49,22,74,80,33,NA,28,2,7,2,8,31,34,37,36,NA,52,49,52,55,51,NA,NA, 284051.0,58,85, 784101,NA,51,60,NA, 0.18,NA
Manizales,Total Manizales,2015, 396075,93,0.14,0.02, 0.06,0.46,NA,NA,0.04,0.07,0.98,97,56,589.00, 27.00,9,40.40,NA,NA, 9.40, 9.60,11,NA,NA,0.76,0.63,0.52,NA,0.03,45,50,28,52,11,0.61,0.56,0.43,0.10,NA,10,33,57,NA, 21.00,310.30,NA,NA,NA,NA, 4.80, 11.40,90,NA,NA,92,NA,NA,89,NA,91,NA,92,408.00, 99.06,1,0.82,40.00, 1,NA, 31.00,79,NA,NA,-0.05,18.40,17.40,11.10,NA,NA,NA,NA,NA,NA,NA,NA,6.77,45,24,74,86,36,NA,39,4,9,2,11,21,35,36,37,NA,49,47,52,50,47,82.20,NA, 321134.0,53,84, 804566,NA,54,61,NA, 0.18,NA
Pereira,Total Pereira,2011, 459667,84,0.22,0.02, 0.14,0.45,NA,NA,0.07,0.08,0.95,97,56,584.34, 35.46,9,64.99,0.79,0.84,10.82,13.12,NA,0.23,0.75,1.00,0.88,0.52,1.07,0.05,NA,NA,NA,NA,5,0.66,0.55,0.53,0.17,0.28,12,24,61,NA, 42.86,329.37,--,--, 31.33,NA,17.62, 44.82,NA,0.64,1.00,88,NA,0.98,86,0.96,84,1.00,87,472.65,109.88,0,NA,NA, 1,NA, 17.65,75,  96688.98,70,-0.03,12.53, 9.56,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.01,53,29,90,NA,6,NA,NA,NA,NA,NA,NA,NA,35,34,39,NA,NA,NA,NA,NA,NA,73.28,45, 288059.1,55,82, 693447,0.69,57,49,0.04, 0.13,NA
Pereira,Total Pereira,2012, 462209,84,0.22,0.03, 0.04,0.46,0.08,2,0.06,0.10,0.95,97,58,610.98, 53.27,9,67.43,0.78,0.80,10.48,11.36,NA,0.19,0.70,0.97,0.85,0.51,1.02,0.05,40,53,33,56,9,0.66,0.55,0.52,0.16,0.26,14,47,54,NA, 36.80,314.36,--,--, 35.27,NA,21.64, 36.13,84,0.34,1.00,91,33,0.98,84,0.95,82,NA,87,452.53,108.38,0,0.76,36.00, 1,NA,  2.00,63,  90834.12,66,-0.05,13.36,10.26,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.09,44,30,73,81,22,NA,27,3,11,2,8,33,23,23,23,23,27,23,49,55,56,81.40,42, 296608.0,58,81, 676125,0.67,38,30,0.02, 0.15,NA
Pereira,Total Pereira,2013, 464719,84,0.24,0.05, 0.01,0.48,0.09,7,0.03,0.08,0.96,91,50,592.40, 73.75,8,62.95,0.93,0.96,10.68,11.62,NA,0.23,0.62,0.91,0.83,0.49,0.98,0.05,39,53,28,48,9,0.61,0.52,0.50,0.14,0.22,8,50,48,9, 39.40,334.18,60.61,28.80, 64.99,1,14.63, 28.19,83,0.60,1.00,89,32,0.98,83,0.97,80,NA,83,458.53,109.21,0,0.79,27.00, 1,NA, 46.26,50,  87616.21,63,-0.07,13.88,10.93,18.29,264.68,  3.60,6,2,44,4,19,10,3.19,26,19,71,80,19,45,22,3,8,4,8,41,22,25,20,29,36,33,39,45,56,77.57,46, 380347.8,54,84, 882633,0.65,23,18,0.01, 0.17, 5
Pereira,Total Pereira,2014, 467185,84,0.18,0.03, 0.13,0.47,0.10,12,0.06,0.10,0.97,96,56,499.00, 22.04,8,48.90,0.91,0.90, 7.49,14.50,NA,0.20,0.57,0.89,0.85,0.47,0.86,0.05,3,50,33,50,NA,0.63,0.54,0.49,0.14,NA,13,43,43,NA, 35.50,335.00,NA,17.45,NA,NA,74.00, 36.00,83,0.60,1.00,91,31,0.98,81,0.98,81,NA,85,459.00,108.00,0,0.82,36.00, 1,NA, 96.00,66,NA,60,NA,15.20,12.73,16.10,242.73,NA,NA,NA,NA,NA,NA,NA,1.60,28,NA,71,78,38,NA,15,3,7,7,12,32,20,21,21,33,42,34,50,NA,54,77.60,NA, 362995.0,NA,84,NA,NA,21,16,NA, 0.17, 5
Pereira,Total Pereira,2015, 469612,84,0.18,0.02, 0.00,0.44,0.07,16,0.06,0.10,1.00,94,48,640.70,111.92,7,56.17,0.83,0.98,10.63,11.60,NA,0.21,0.61,0.89,0.85,0.51,0.93,0.05,44,51,28,51,11,0.65,0.57,0.50,0.11,NA,11,49,51,NA, 31.10,294.00,48.00,13.31,NA,0,47.00,177.00,88,0.19,1.00,89,29,0.98,85,0.98,80,NA,83,468.00,111.00,0,0.86,32.00, 1,NA,375.00,80,NA,65,NA,16.11,13.54,15.30,283.43,NA,NA,NA,NA,NA,NA,NA,NA,31,NA,NA,NA,29,NA,16,2,7,4,10,40,18,23,20,32,32,29,55,NA,57,NA,NA, 435888.0,NA,83,NA,NA,29,18,0.07, 0.29, 5
Valledupar,Total Valledupar,2011, 413341,85,0.36,0.06, 0.11,0.48,NA,NA,0.09,0.11,1.13,91,58,372.82, 95.57,9,93.65,1.06,1.13,13.49,15.29,NA,0.06,0.58,0.87,0.68,0.40,0.91,0.03,NA,NA,NA,NA,3,0.61,0.54,NA,0.12,NA,11,19,38,NA, 30.24,359.51,NA,NA,123.63,NA, 9.19, 55.16,NA,0.35,0.92,70,68,0.85,76,0.98,87,0.95,74,551.55, 79.33,98,0.88,28.00, 1,96, 13.08,38,NA,NA,0.19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34,36,89,NA,5,NA,26,2,11,5,9,43,19,22,23,30,38,35,NA,28,37,57.96,25, 101661.1,75,91, 715008,1.06,NA,37,0.05, 0.06,NA
Valledupar,Total Valledupar,2012, 423278,85,0.33,0.06, 0.11,0.48,NA,NA,0.06,0.12,1.11,96,52,364.54,115.63,10,89.77,1.06,1.13,14.30,16.19,NA,0.06,0.55,0.87,0.70,0.38,0.91,0.04,25,35,16,38,6,0.63,0.57,NA,0.10,NA,18,34,27,NA, 24.10,364.30,NA,NA, 85.52,NA,16.77, 64.02,81,0.92,0.92,65,68,0.96,74,0.98,89,0.93,66,536.65, 79.85,98,0.86,32.00, 1,96,  0.00,38,NA,NA,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,10,51,74,26,NA,27,4,16,4,7,35,11,11,13,20,29,24,28,23,42,83.60,27, 166431.0,73,88, 684705,0.80,17,38,0.03, 0.08,NA
Valledupar,Total Valledupar,2013, 433242,85,0.31,0.04,-0.01,0.46,0.30,2,0.05,0.10,1.08,91,52,353.38, 74.30,10,88.80,1.00,1.11,12.53,14.44,NA,0.06,0.50,0.81,0.70,0.39,0.91,0.03,29,38,19,36,5,0.62,0.56,NA,0.10,NA,22,37,34,5, 24.47,435.32,37.68,4.28,101.33,0,29.54,132.95,77,0.57,0.92,74,68,0.97,75,0.98,89,0.95,72,665.04, 84.71,98,0.73,45.00, 1,96, 32.31,41,NA,NA,-0.17, 5.88,10.02,16.62,123.95,  0.00,13,15,15,3,10,5,3.72,26,20,61,77,29,43,23,4,10,3,6,34,20,18,22,32,37,30,27,36,33,70.51,31, 203406.9,69,92,1008017,0.59,24,34,0.01, 0.09, 8
Valledupar,Total Valledupar,2014, 443210,85,0.27,0.04,NA,0.42,NA,NA,0.05,0.10,NA,NA,61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.07,27,36,19,34,NA,0.63,0.57,0.61,0.10,NA,20,34,25,NA, 18.70,NA,NA,NA,NA,NA,NA,NA,72,NA,NA,70,NA,NA,75,NA,81,NA,46,NA,NA,NA,NA,NA,NA,NA, 47.40,NA,NA,NA,NA,NA,NA,18.30,NA,NA,NA,NA,NA,NA,NA,NA,NA,24,NA,67,81,32,NA,25,2,13,2,6,24,NA,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26,30,NA, 0.10,NA
Valledupar,Total Valledupar,2015, 453215,85,0.30,0.05,NA,0.45,NA,NA,0.04,0.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.04,33,37,19,32,7,0.61,0.55,0.60,0.10,NA,NA,NA,NA,NA, 23.20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  2.20,NA,NA,NA,NA,NA,NA,13.90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, 0.10,NA
Yumbo,Total Yumbo,2011, 106559,88,0.25,0.05,-0.01,0.50,NA,NA,0.08,0.10,0.85,NA,NA,445.76, 94.61,8,51.89,0.88,0.89, 7.57, 8.51,NA,NA,NA,NA,NA,NA,NA,0.04,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,106.98,226.17,NA,NA,193.32,NA,27.21, 86.34,NA,0.63,1.00,NA,65,0.88,NA,1.00,NA,0.82,NA,381.75, 85.00,NA,0.95,64.19,NA,NA, 20.79,NA,NA,NA,NA, 0.10, 0.36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,72.12,84, 896267.2,16,64, 777603,0.02,NA,NA,NA, 0.06,NA
Yumbo,Total Yumbo,2012, 109131,88,0.23,0.05, 0.11,0.52,NA,NA,0.06,0.10,0.87,NA,NA,400.44, 90.91,9,58.66,0.92,0.85,10.00,12.73,NA,0.07,0.45,0.91,0.79,0.41,NA,0.03,25,38,18,43,3,NA,NA,NA,NA,NA,NA,NA,NA,NA, 76.97,183.27,NA,NA,123.70,NA,33.90, 63.23,NA,0.12,1.00,NA,60,0.88,NA,1.00,NA,0.83,NA,394.00, 94.00,NA,0.91,76.41,NA,NA,  3.94,NA,NA,NA,NA, 0.51, 1.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,81.00,82, 974447.9,18,57, 637932,0.06,NA,NA,NA, 0.08,NA
Yumbo,Total Yumbo,2013, 111753,88,0.22,0.04, 0.03,0.51,0.39,0,0.05,0.08,0.87,98,50,426.83,  0.00,8,63.44,0.66,0.67, 8.61,12.06,NA,0.04,0.37,0.83,0.77,0.36,0.96,0.02,29,40,16,34,1,NA,NA,NA,NA,NA,10,32,51,NA, 56.37,144.07,139.13,NA, 69.80,NA,34.90, 52.80,85,0.00,1.00,61,55,0.99,66,1.00,82,0.85,83,381.02, 86.00,NA,0.92,70.90,NA,NA, 17.90,54,NA,NA,NA, 3.54,11.17,17.00,106.48,  0.00,16,5,0,3,15,11,NA,51,5,64,57,31,40,34,5,9,4,4,30,33,27,31,43,57,49,56,58,59,73.80,81,1035050.3,19,68, 986051,0.11,24,35,NA, 0.10,NA
