Ciudad,Territorio,Anio,v1_d_001,v1_d_002,v2_p_001,v2_p_002,v2_p_003,v2_p_004,v2_p_005,v2_p_006,v2_p_007,v2_p_008,v3_s_001,v3_s_002,v3_s_003,v3_s_004,v3_s_005,v3_s_006,v3_s_007,v3_s_008,v3_s_009,v3_s_010,v3_s_011,v3_s_012,v4_e_001,v4_e_002,v4_e_003,v4_e_004,v4_e_005,v4_e_006,v4_e_007,v4_e_008,v4_e_009,v4_e_010,v4_e_011,v4_e_012,v5_ml_001,v5_ml_002,v5_ml_003,v5_ml_004,v5_ml_005,v6_sc_001,v6_sc_002,v6_sc_003,v6_sc_004,v6_sc_005,v6_sc_006,v6_sc_007,v6_sc_008,v6_sc_009,v6_sc_010,v6_sc_011,v6_sc_012,v7_v_001,v7_v_002,v7_v_003,v7_v_004,v7_v_005,v7_v_006,v7_v_007,v7_v_008,v7_v_009,v7_v_010,v7_v_011,v8_ma_01,v8_ma_02,v8_ma_03,v8_ma_04,v8_ma_05,v8_ma_06,v8_ma_07,v8_ma_08,v9_m_001,v9_m_002,v9_m_003,v9_m_004,v9_m_005,v9_m_006,v9_m_007,v9_m_008,v9_m_009,v9_m_010,v9_m_011,v9_m_012,v9_m_013,v9_m_014,v9_m_015,v0_ep_001,v0_ep_002,v1_cr_001,v1_cr_002,v1_cr_003,v2_pc_001,v2_pc_002,v2_pc_003,v2_pc_004,v2_pc_005,v2_pc_006,v2_pc_007,v2_pc_008,v2_pc_009,v2_pc_010,v2_pc_011,v2_pc_012,v2_pc_013,v2_pc_014,v2_pc_015,v2_pc_016,v2_pc_017,v3_gp_001,v3_gp_002,v3_gp_003,v3_gp_004,v3_gp_005,v3_gp_006,v3_gp_007,v3_gp_008,v3_gp_009,v4_ee_001,v4_ee_002,v4_ee_003
Bucaramanga Metropolitana,Total Bucaramanga Metropolitana,2011,1084699,94,0.11,0.01, 0.07,0.45,NA,NA,0.14,0.16,0.95,70,56,390.71, 30.99,8,63.57,1.02,0.98, 5.89, 7.19,NA,NA,NA,NA,NA,NA,NA,0.04,NA,NA,NA,NA,6,0.70,0.63,0.58,0.10,0.17,16,33,41,NA, 15.03,450.26,NA,NA, 18.81,NA,NA,NA,NA,0.13,NA,67,NA,NA,63,NA,65,NA,77,475.00,118.00,NA,NA,43.50, 1,0,  5.01,52,  50703.98,NA,-0.06,14.57,19.48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39,36,91,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,73.61,52, 168993.3,48,82, 745304,NA,16,32,0.06, 0.17,NA
Bucaramanga Metropolitana,Total Bucaramanga Metropolitana,2012,1094390,94,0.10,0.01, 0.01,0.43,NA,NA,0.09,0.12,0.95,85,47,474.33, 28.60,8,70.95,1.02,0.98, 7.89, 9.27,NA,NA,NA,NA,NA,NA,NA,0.04,52,62,52,68,10,0.70,0.64,0.58,0.10,0.17,15,33,38,NA, 15.72,455.41,NA,NA, 21.38,NA,NA,NA,81,0.15,NA,81,NA,NA,79,NA,76,NA,86,502.00,120.00,NA,NA,40.50, 1,0,  0.00,46, 112300.00,NA,-0.08,16.47,22.38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45,28,82,85,21,NA,17,4,7,4,8,40,22,25,19,34,36,32,NA,NA,NA,84.90,52, 177308.0,48,80, 663550,NA,22,31,0.03, 0.20,NA
Bucaramanga Metropolitana,Total Bucaramanga Metropolitana,2013,1103989,94,0.10,0.01, 0.04,0.44,0.33,5,0.06,0.10,0.94,96,42,498.47, 23.55,8,67.18,1.18,1.14, 9.60,10.71,NA,NA,NA,NA,NA,NA,NA,0.03,54,62,48,62,11,0.70,0.63,0.57,0.09,0.16,11,34,37,6, 15.94,502.90,56.30,28.78, 21.01,0,NA,NA,75,0.36,NA,81,NA,NA,74,NA,56,NA,86,517.00,122.00,12,0.98,33.90, 1,2, 17.58,39, 119247.72,NA,-0.01,16.84,25.33,15.38,325.34,  0.00,4,6,43,2,19,10,2.70,41,12,89,88,28,46,11,1,2,2,7,23,17,21,18,35,43,37,30,34,27,78.80,57, 214495.5,43,85,1025426,NA,18,17,0.02, 0.22,14
Bucaramanga Metropolitana,Total Bucaramanga Metropolitana,2014,1113522,94,0.08,0.01, 0.09,0.43,NA,NA,0.06,0.09,NA,95,58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.98,0.85,0.53,NA,0.02,48,46,36,61,NA,0.71,0.65,0.56,0.08,NA,15,36,39,NA, 21.20,NA,NA,NA,NA,NA,NA,NA,77,NA,NA,77,NA,NA,71,NA,71,NA,80,540.00,124.00,NA,NA,NA,NA,NA,272.60,NA,NA,NA,NA,NA,NA,10.00,NA,NA,NA,NA,NA,NA,NA,NA,2.70,42,NA,66,81,30,NA,16,5,9,5,9,28,29,27,24,42,48,42,42,35,40,NA,NA,NA,NA,NA,NA,NA,33,34,NA, 0.24,NA
Bucaramanga Metropolitana,Total Bucaramanga Metropolitana,2015,1122945,94,0.09,0.01,-0.03,0.41,NA,NA,0.06,0.08,NA,93,51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.03,55,58,45,61,16,0.69,0.64,0.55,0.08,NA,12,26,43,NA, 16.90,NA,NA,NA,NA,NA,NA,NA,75,NA,NA,87,NA,NA,75,NA,73,NA,87,561.00,123.00,NA,NA,NA,NA,NA,  0.00,NA,NA,NA,NA,NA,NA,10.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,5,11,5,7,37,36,30,35,NA,NA,NA,44,40,46,NA,NA,NA,NA,NA,NA,NA,44,26,NA, 0.24,NA
Cali,Total Cali,2011,2269653,98,0.25,0.05,-0.01,0.50,NA,NA,0.08,0.10,0.90,98,53,551.01, 57.67,9,57.51,1.14,1.02, 9.77,11.84,NA,NA,0.90,0.95,0.85,0.61,0.79,0.02,NA,NA,NA,NA,8,0.65,0.55,0.52,0.15,0.25,16,32,25,NA, 83.05,275.06,NA,NA, 64.94,NA,86.80,118.57,NA,0.36,NA,67,48,NA,64,1.00,80,0.97,72,475.93,120.00,8811,0.67,21.70, 1,NA, 13.72,58, 304630.50,38,0.01,16.27, 5.53,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.58,25,36,86,NA,3,NA,20,5,11,3,6,44,14,17,14,13,13,13,32,28,35,68.86,57, 272613.3,43,78, 567205,0.49,39,39,0.03, 0.11,NA
Cali,Total Cali,2012,2294653,98,0.23,0.05, 0.11,0.52,NA,NA,0.06,0.10,0.91,96,51,549.58, 72.21,10,57.44,1.07,1.05,10.11,12.17,NA,0.17,0.78,0.86,0.77,0.59,0.74,0.02,33,48,25,48,10,0.66,0.56,0.51,0.14,0.24,18,44,27,NA, 81.10,278.47,NA,NA, 53.82,NA,71.25,127.43,81,0.71,NA,68,51,NA,63,1.00,79,0.96,71,473.00,119.00,8272,0.67,31.20, 1,4,  0.00,55, 417100.34,43,-0.19,16.93, 6.58,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.53,27,22,64,67,16,NA,18,3,5,2,3,51,12,14,NA,12,18,15,41,41,37,79.00,55, 281677.9,45,72, 525158,0.43,25,21,0.02, 0.13,NA
Cali,Total Cali,2013,2319684,98,0.22,0.04, 0.03,0.51,0.20,2,0.05,0.08,0.90,93,49,547.83, 25.48,9,51.44,1.13,1.01, 8.84,10.45,NA,0.25,0.75,0.87,0.78,0.59,NA,0.03,36,47,23,43,10,0.66,0.57,0.50,0.14,0.24,14,33,34,11, 85.74,298.88,206.54,9.71, 78.11,1,69.62,101.31,78,0.20,NA,79,53,NA,71,1.00,75,0.97,80,470.26,117.56,7720,0.72,24.70, 1,4,  7.36,39, 436708.56,50,-0.03,17.66, 7.57,13.23, 84.58, 24.60,2,4,42,4,17,12,2.40,39,24,70,76,25,33,24,4,10,3,7,31,22,23,24,19,26,21,41,44,43,82.72,53, 344103.9,47,73, 667364,0.30,35,26,0.02, 0.15,21
Cali,Total Cali,2014,2344734,98,0.19,0.03, 0.05,0.49,NA,NA,0.05,0.08,0.91,98,58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.93,0.83,0.60,NA,0.02,31,44,23,41,NA,0.67,0.58,0.48,0.13,NA,20,33,23,NA, 68.50,NA,NA,NA,NA,NA,NA,NA,82,NA,NA,55,NA,NA,49,NA,64,NA,59,470.00,114.00,NA,NA,NA,NA,NA,  0.00,NA,NA,NA,NA,NA,NA,14.80,NA,NA,NA,NA,NA,NA,NA,NA,2.70,30,NA,69,79,29,NA,18,5,12,6,11,33,13,16,16,16,23,19,36,39,31,NA,NA,NA,NA,NA,NA,NA,25,15,NA, 0.16,NA
Cali,Total Cali,2015,2369821,98,0.17,0.03, 0.10,0.48,NA,NA,0.06,0.09,0.94,96,56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.05,36,48,22,41,11,0.68,0.60,0.47,0.12,NA,14,33,30,NA, 57.20,NA,NA,NA,NA,NA,NA,NA,86,NA,NA,73,NA,NA,67,NA,75,NA,80,493.00,104.00,NA,NA,NA,NA,NA,  1.00,NA,NA,NA,NA,NA,NA,16.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,37,NA,NA,NA,25,NA,10,4,7,4,10,35,21,19,18,25,34,25,49,49,43,NA,NA,NA,NA,NA,NA,NA,33,21,NA, 0.16,NA
