id,name,
Metas,Metas,Ca
Indicadores,Indicadores,Ca
Fuente,Fuente,Ca
Barranquilla,Barranquilla,Ca
Bogotá,Bogotá,Ca
Cali,Cali,Ca
Cartagena,Cartagena,Ca
Cúcuta,Cúcuta,Ca
Ibagué,Ibagué,Ca
Manizales,Manizales,Ca
Medellín,Medellín,Ca
Pereira,Pereira,Ca
Yumbo,Yumbo,Ca
Bucaramanga Metropolitana,Bucaramanga Metropolitana,Ca
